Album,Release Date,Explicit,Song Title
Red (Taylor's Version),2021-11-12,True,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)
Red (Taylor's Version),2021-11-12,False,Forever Winter (Taylor's Version) (From The Vault)
Red (Taylor's Version),2021-11-12,False,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)
Red (Taylor's Version),2021-11-12,False,The Very First Night (Taylor's Version) (From The Vault)
Red (Taylor's Version),2021-11-12,True,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)
Midnights (3am Edition),2022-10-22,True,Lavender Haze
Midnights (3am Edition),2022-10-22,True,Maroon
Midnights (3am Edition),2022-10-22,False,Anti-Hero
Midnights (3am Edition),2022-10-22,True,Snow On The Beach (feat. Lana Del Rey)
Midnights (3am Edition),2022-10-22,False,"You're On Your Own, Kid"
Midnights (3am Edition),2022-10-22,False,Midnight Rain
Midnights (3am Edition),2022-10-22,True,Question...?
Midnights (3am Edition),2022-10-22,True,Vigilante Shit
Midnights (3am Edition),2022-10-22,False,Bejeweled
Midnights (3am Edition),2022-10-22,False,Labyrinth
Midnights (3am Edition),2022-10-22,True,Karma
Midnights (3am Edition),2022-10-22,False,Sweet Nothing
Midnights (3am Edition),2022-10-22,False,Mastermind
Midnights (3am Edition),2022-10-22,False,The Great War
Midnights (3am Edition),2022-10-22,False,Bigger Than The Whole Sky
Midnights (3am Edition),2022-10-22,False,Paris
Midnights (3am Edition),2022-10-22,False,High Infidelity
Midnights (3am Edition),2022-10-22,False,Glitch
Midnights (3am Edition),2022-10-22,False,"Would've, Could've, Should've"
Midnights (3am Edition),2022-10-22,False,Dear Reader
Speak Now (Taylor's Version),2023-07-07,False,Mine (Taylor's Version)
Speak Now (Taylor's Version),2023-07-07,False,Sparks Fly (Taylor’s Version)
Speak Now (Taylor's Version),2023-07-07,False,Back To December (Taylor's Version)
Speak Now (Taylor's Version),2023-07-07,False,Speak Now (Taylor's Version)
Speak Now (Taylor's Version),2023-07-07,False,Dear John (Taylor's Version)
Speak Now (Taylor's Version),2023-07-07,False,Mean (Taylor's Version)
Speak Now (Taylor's Version),2023-07-07,False,The Story Of Us (Taylor's Version)
Speak Now (Taylor's Version),2023-07-07,False,Never Grow Up (Taylor's Version)
Speak Now (Taylor's Version),2023-07-07,False,Enchanted (Taylor's Version)
Speak Now (Taylor's Version),2023-07-07,False,Better Than Revenge (Taylor's Version)
Speak Now (Taylor's Version),2023-07-07,False,Innocent (Taylor's Version)
Speak Now (Taylor's Version),2023-07-07,False,Haunted (Taylor's Version)
Speak Now (Taylor's Version),2023-07-07,False,Last Kiss (Taylor's Version)
Speak Now (Taylor's Version),2023-07-07,False,Long Live (Taylor's Version)
Speak Now (Taylor's Version),2023-07-07,False,Ours (Taylor’s Version)
Speak Now (Taylor's Version),2023-07-07,False,Superman (Taylor’s Version)
Speak Now (Taylor's Version),2023-07-07,False,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault)
Speak Now (Taylor's Version),2023-07-07,False,When Emma Falls in Love (Taylor’s Version) (From The Vault)
Speak Now (Taylor's Version),2023-07-07,False,I Can See You (Taylor’s Version) (From The Vault)
Speak Now (Taylor's Version),2023-07-07,False,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault)
Speak Now (Taylor's Version),2023-07-07,False,Foolish One (Taylor’s Version) (From The Vault)
Speak Now (Taylor's Version),2023-07-07,False,Timeless (Taylor’s Version) (From The Vault)
